category,PM2.5 1,PM2.5 2
2023-06-25T13:04:00.000Z,11,10
2023-06-25T13:08:00.000Z,11,11
2023-06-25T13:12:00.000Z,11,14
2023-06-25T13:14:00.000Z,10,12
2023-06-25T13:16:00.000Z,14,14
2023-06-25T13:20:00.000Z,12,9
2023-06-25T13:22:00.000Z,12,9
2023-06-25T13:24:00.000Z,12,16
2023-06-25T13:28:00.000Z,14,13
2023-06-25T13:30:00.000Z,12,13
2023-06-25T13:34:00.000Z,15,10
2023-06-25T13:36:00.000Z,13,12
2023-06-25T13:37:00.000Z,14,19
2023-06-25T13:39:00.000Z,15,15
2023-06-25T13:41:00.000Z,14,13
2023-06-25T13:43:00.000Z,12,18
2023-06-25T13:45:00.000Z,14,14
2023-06-25T13:47:00.000Z,14,13
2023-06-25T13:51:00.000Z,14,14
2023-06-25T13:53:00.000Z,14,18
2023-06-25T13:55:00.000Z,16,15
2023-06-25T13:57:00.000Z,18,15
2023-06-25T14:01:00.000Z,14,16
2023-06-25T14:03:00.000Z,16,15
2023-06-25T14:05:00.000Z,17,19
2023-06-25T14:07:00.000Z,11,16
2023-06-25T14:11:00.000Z,15,17
2023-06-25T14:13:00.000Z,14,19
2023-06-25T14:14:00.000Z,15,17
2023-06-25T14:16:00.000Z,16,17
2023-06-25T14:19:00.000Z,17,15
2023-06-25T14:20:00.000Z,13,17
2023-06-25T14:22:00.000Z,14,15
2023-06-25T14:25:00.000Z,16,16
2023-06-25T14:26:00.000Z,16,15
2023-06-25T14:31:00.000Z,16,15
2023-06-25T14:32:00.000Z,16,17
2023-06-25T14:34:00.000Z,16,16
2023-06-25T14:36:00.000Z,15,14
2023-06-25T14:38:00.000Z,15,14
2023-06-25T14:40:00.000Z,18,13
2023-06-25T14:42:00.000Z,16,17
2023-06-25T14:46:00.000Z,17,16
2023-06-25T14:48:00.000Z,17,15
2023-06-25T14:50:00.000Z,16,15
2023-06-25T14:51:00.000Z,21,15
2023-06-25T14:55:00.000Z,15,17
2023-06-25T14:57:00.000Z,17,16
2023-06-25T14:59:00.000Z,17,16
2023-06-25T15:01:00.000Z,16,18
2023-06-25T15:03:00.000Z,15,18
2023-06-25T15:05:00.000Z,14,21
2023-06-25T15:07:00.000Z,18,16
2023-06-25T15:09:00.000Z,15,19
2023-06-25T15:13:00.000Z,19,16
2023-06-25T15:14:00.000Z,18,18
2023-06-25T15:16:00.000Z,15,18
2023-06-25T15:18:00.000Z,19,17
2023-06-25T15:20:00.000Z,16,18
2023-06-25T15:22:00.000Z,17,18
2023-06-25T15:24:00.000Z,17,18
2023-06-25T15:28:00.000Z,17,18
2023-06-25T15:30:00.000Z,14,22
2023-06-25T15:32:00.000Z,17,17
2023-06-25T15:34:00.000Z,17,21
2023-06-25T15:36:00.000Z,18,20
2023-06-25T15:38:00.000Z,15,16
2023-06-25T15:40:00.000Z,20,16
2023-06-25T15:44:00.000Z,18,21
2023-06-25T15:46:00.000Z,17,17
2023-06-25T15:48:00.000Z,15,16
2023-06-25T15:50:00.000Z,17,16
2023-06-25T15:52:00.000Z,16,20
2023-06-25T15:54:00.000Z,14,17
2023-06-25T15:55:00.000Z,16,14
2023-06-25T15:59:00.000Z,15,16
2023-06-25T16:01:00.000Z,17,17
2023-06-25T16:03:00.000Z,18,15
2023-06-25T16:07:00.000Z,17,16
2023-06-25T16:09:00.000Z,14,16
2023-06-25T16:13:00.000Z,12,12
2023-06-25T16:15:00.000Z,13,15
2023-06-25T16:17:00.000Z,11,16
2023-06-25T16:19:00.000Z,13,12
2023-06-25T16:21:00.000Z,14,11
2023-06-25T16:23:00.000Z,13,14
2023-06-25T16:27:00.000Z,13,14
2023-06-25T16:28:00.000Z,11,11
2023-06-25T16:30:00.000Z,15,14
2023-06-25T16:32:00.000Z,11,14
2023-06-25T16:34:00.000Z,11,12
2023-06-25T16:36:00.000Z,12,14
2023-06-25T16:38:00.000Z,9,11
2023-06-25T16:40:00.000Z,13,12
2023-06-25T16:42:00.000Z,11,13
2023-06-25T16:46:00.000Z,11,14
2023-06-25T16:48:00.000Z,12,11
2023-06-25T16:50:00.000Z,12,10
2023-06-25T16:52:00.000Z,11,10
2023-06-25T16:54:00.000Z,9,10
2023-06-25T16:58:00.000Z,10,12
2023-06-25T17:00:00.000Z,9,14
2023-06-25T17:02:00.000Z,10,11
2023-06-25T17:03:00.000Z,10,11
2023-06-25T17:05:00.000Z,10,10
2023-06-25T17:07:00.000Z,12,11
2023-06-25T17:09:00.000Z,11,9
2023-06-25T17:13:00.000Z,9,9
2023-06-25T17:15:00.000Z,8,9
2023-06-25T17:17:00.000Z,9,10
2023-06-25T17:21:00.000Z,12,9
2023-06-25T17:23:00.000Z,9,8
2023-06-25T17:29:00.000Z,8,8
2023-06-25T17:31:00.000Z,10,9
2023-06-25T17:33:00.000Z,8,11
2023-06-25T17:34:00.000Z,10,9
2023-06-25T17:36:00.000Z,9,10
2023-06-25T17:38:00.000Z,10,9
2023-06-25T17:42:00.000Z,9,11
2023-06-25T17:44:00.000Z,8,9
2023-06-25T17:46:00.000Z,10,8
2023-06-25T17:48:00.000Z,8,8
2023-06-25T17:50:00.000Z,8,9
